"date";"mesocosm";"taxon_cyto";"cyto"
"2015_09_24";"36";"bacteria";4245.1815
"2015_09_24";"18";"bacteria";671.65
"2015_09_24";"35";"bacteria";1581.2055
"2015_10_21";"27";"bacteria";1131.907
"2015_10_21";"22";"bacteria";722.554
"2015_10_21";"11";"bacteria";499.849
"2015_10_21";"13";"bacteria";2364.915
"2015_10_21";"12";"bacteria";3090.82725
"2015_10_21";"18";"bacteria";1115.11575
"2015_10_21";"34";"bacteria";1812.92475
"2015_10_21";"28";"bacteria";386.729
"2015_10_21";"15";"bacteria";2003.2845
"2015_10_21";"23";"bacteria";1202.607
"2015_10_21";"1";"bacteria";2004.87525
"2015_10_21";"26";"bacteria";457.0755
"2015_10_21";"14";"bacteria";1689.90675
"2015_10_21";"3";"bacteria";330.610875
"2015_10_21";"24";"bacteria";860.59575
"2015_10_21";"25";"bacteria";991.5675
"2015_10_21";"29";"bacteria";878.094
"2015_10_21";"19";"bacteria";1265.1765
"2015_10_21";"2";"bacteria";1201.5465
"2015_10_21";"6";"bacteria";1621.5045
"2015_10_21";"35";"bacteria";1742.93175
"2015_10_21";"20";"bacteria";2272.6515
"2015_10_21";"17";"bacteria";607.13625
"2015_10_21";"8";"bacteria";216.1299
"2015_10_21";"33";"bacteria";1201.01625
"2015_10_21";"30";"bacteria";1800.729
"2015_10_21";"5";"bacteria";1318.73175
"2015_10_21";"9";"bacteria";588.5775
"2015_10_21";"32";"bacteria";2089.892
"2015_10_21";"31";"bacteria";660.16125
"2015_10_21";"10";"bacteria";936.95175
"2015_10_21";"4";"bacteria";2901.528
"2015_10_21";"21";"bacteria";3271.6425
"2015_10_21";"36";"bacteria";1023.91275
"2015_10_21";"7";"bacteria";388.143
"2015_10_21";"16";"bacteria";453.5405
